company_id,current_company_name,current_symbol,former_company_names,former_symbols,official_website,historical_domains,listing_date,delisting_date,sector,fiscal_year_end,isin,lei,secp_registration,merger_history,demerger_history,identity_provenance
PAK|XKAR|FFBL,Fauji Fertilizer Bin Qasim Limited,FFBL,"Fauji Jordan Fertilizer Company","","https://www.ffbl.com","","1996-05-14","","Fertilizer","December 31",PK0030401015,,"0000504","Sole manufacturer of DAP in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|FATIMA,Fatima Fertilizer Company Limited,FATIMA,"","","https://www.fatima-group.com","","2010-03-24","","Fertilizer","December 31",PK0029601013,,"0000505","Amalgamated Pakarab Fertilizers in 2020","","PSX Official Listing / CDC"
PAK|XKAR|SEARL,The Searle Company Limited,SEARL,"","","https://www.searlecompany.com","","1993-11-28","","Pharmaceuticals","June 30",PK0071801014,,"0000601","Acquired OBS Pakistan and Next Capital pharma assets","","PSX Official Listing / CDC"
PAK|XKAR|GLAXO,GlaxoSmithKline Pakistan Limited,GLAXO,"Glaxo Wellcome Pakistan","","https://www.pk.gsk.com","","1953-06-15","","Pharmaceuticals","December 31",PK0032901012,,"0000602","Demerged consumer healthcare into Haleon in 2022","Demerger Haleon","PSX Official Listing / CDC"
PAK|XKAR|AGP,AGP Limited,AGP,"","","https://www.agp.com.pk","","2018-03-05","","Pharmaceuticals","December 31",PK0096901015,,"0000603","Aitkenstuart Pakistan acquisition","","PSX IPO Prospectus March 2018"
PAK|XKAR|CPHL,Citi Pharma Limited,CPHL,"","","https://www.citipharma.com.pk","","2021-07-09","","Pharmaceuticals","June 30",PK0103701010,,"0000604","Major manufacturer of Paracetamol API","","PSX IPO Prospectus July 2021"
PAK|XKAR|ABOT,Abbott Laboratories (Pakistan) Limited,ABOT,"","","https://www.pk.abbott","","1982-12-20","","Pharmaceuticals","December 31",PK0002201018,,"0000605","Affiliate of Abbott US","","PSX Official Listing / CDC"
PAK|XKAR|FEROZ,Ferozsons Laboratories Limited,FEROZ,"","","https://www.ferozsons-labs.com","","1960-04-18","","Pharmaceuticals","June 30",PK0030101011,,"0000606","Joint venture with Gilead Sciences","","PSX Official Listing / CDC"
PAK|XKAR|HINOON,Highnoon Laboratories Limited,HINOON,"","","https://www.highnoon-labs.com","","1994-11-15","","Pharmaceuticals","December 31",PK0040701011,,"0000607","Fastest growing pharmaceutical in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|ILP,Interloop Limited,ILP,"","","https://www.interloop-pk.com","","2019-04-10","","Textile Composite","June 30",PK0098501011,,"0000701","Largest listed hosiery and activewear manufacturer","","PSX IPO Prospectus April 2019"
PAK|XKAR|NML,Nishat Mills Limited,NML,"","","https://www.nishatmillsltd.com","","1961-08-25","","Textile Composite","June 30",PK0060801018,,"0000702","Nishat Group flagship textile enterprise","","PSX Official Listing / CDC"
PAK|XKAR|GATM,Gul Ahmed Textile Mills Limited,GATM,"","","https://www.gulahmed.com","","1972-10-18","","Textile Composite","June 30",PK0034601016,,"0000703","Integrated textile manufacturing and Ideas retail","","PSX Official Listing / CDC"
PAK|XKAR|KTML,Kohinoor Textile Mills Limited,KTML,"","","https://www.ktml.com","","1953-03-12","","Textile Composite","June 30",PK0048601015,,"0000704","Holding company of Maple Leaf Cement","","PSX Official Listing / CDC"
PAK|XKAR|HUBC,The Hub Power Company Limited,HUBC,"Hubco","","https://www.hubpower.com","","1994-10-05","","Power Generation & Distribution","June 30",PK0040201012,549300HUBC0000000001,"0000801","First and largest IPP in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|KEL,K-Electric Limited,KEL,"Karachi Electric Supply Company Limited","KESC","https://www.ke.com.pk","","1948-09-13","","Power Generation & Distribution","June 30",PK0045401013,,"0000802","Rebranded from KESC to K-Electric in 2014","","PSX Official Listing / CDC"
PAK|XKAR|KAPCO,Kot Addu Power Company Limited,KAPCO,"","","https://www.kapco.com.pk","","2005-04-18","","Power Generation & Distribution","June 30",PK0047301013,,"0000803","Privatized in 1996","","PSX Official Listing / CDC"
PAK|XKAR|NESTLE,Nestle Pakistan Limited,NESTLE,"Milkpak Limited","","https://www.nestle.pk","","1989-11-20","","Food & Personal Care Products","December 31",PK0059901019,,"0000901","Subsidiary of Nestle SA","","PSX Official Listing / CDC"
PAK|XKAR|UPFL,Unilever Pakistan Foods Limited,UPFL,"Rafhan Best Foods Limited","","https://www.unilever.pk","","1998-07-28","","Food & Personal Care Products","December 31",PK0070301016,,"0000902","Makers of Knorr and Rafhan foods","","PSX Official Listing / CDC"
PAK|XKAR|FCEPL,FrieslandCampina Engro Pakistan Limited,FCEPL,"Engro Foods Limited","EFOODS","https://www.frieslandcampina.com.pk","https://www.engrofoods.com","2011-07-14","","Food & Personal Care Products","December 31",PK0029501015,,"0000903","Acquisition by Royal FrieslandCampina in 2016","","PSX Official Rebranding Notice"
PAK|XKAR|NATF,National Foods Limited,NATF,"","","https://www.nfoods.com","","1988-10-10","","Food & Personal Care Products","June 30",PK0059601015,,"0000904","Pioneer packaged spice and recipe mixes","","PSX Official Listing / CDC"
PAK|XKAR|MUREB,Murree Brewery Company Limited,MUREB,"","","https://www.murreebrewery.com","","1949-01-01","","Food & Personal Care Products","June 30",PK0057801010,,"0000905","Historic beverage and non-alcoholic malt producer","","PSX Official Listing / CDC"
PAK|XKAR|INDU,Indus Motor Company Limited,INDU,"","","https://www.toyota-indus.com","","1992-07-01","","Automobile Assembler","June 30",PK0041201011,,"0001001","Assembler of Toyota vehicles in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|HCAR,Honda Atlas Cars (Pakistan) Limited,HCAR,"","","https://www.honda.com.pk","","1994-11-12","","Automobile Assembler","March 31",PK0038801018,,"0001002","Joint venture between Atlas Group and Honda Motor","","PSX Official Listing / CDC"
PAK|XKAR|PSMC,Pak Suzuki Motor Company Limited,PSMC,"","","https://www.suzukipakistan.com","","1992-09-17","2024-05-06","Automobile Assembler","December 31",PK0062401015,,"0001003","Delisted following sponsor buyback in May 2024","","PSX Delisting Notice May 2024"
PAK|XKAR|MTL,Millat Tractors Limited,MTL,"","","https://www.millat.com.pk","","1972-01-01","","Automobile Assembler","June 30",PK0056001011,,"0001004","Authorized manufacturer of Massey Ferguson tractors","","PSX Official Listing / CDC"
PAK|XKAR|ATLH,Atlas Honda Limited,ATLH,"","","https://www.atlashonda.com.pk","","1964-03-20","","Automobile Parts & Accessories","March 31",PK0007101016,,"0001005","Largest motorcycle manufacturer in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|PAEL,Pak Elektron Limited,PAEL,"PEL","","https://www.pel.com.pk","","1958-08-15","","Cable & Electrical Goods","December 31",PK0062001013,,"0001006","Electrical transformers, switchgear, and appliances","","PSX Official Listing / CDC"
PAK|XKAR|WAVECORP,Waves Corporation Limited,WAVECORP,"Waves Singer Pakistan Limited|Singer Pakistan Limited","WAVES|SNGP","https://www.waves.net.pk","https://www.singer.com.pk","1966-07-28","","Cable & Electrical Goods","December 31",PK0072701015,,"0001007","Amalgamated Waves Cool Industries and Singer Pakistan in 2018","Demerged retail business to Waves Home Appliances in 2023","PSX Scheme of Arrangement & Rebranding"
PAK|XKAR|LCI,Lucky Core Industries Limited,LCI,"ICI Pakistan Limited","ICI","https://www.luckycoreindustries.com","https://www.ici.com.pk","1953-01-01","","Chemicals","June 30",PK0041101013,,"0001101","Rebranded from ICI Pakistan to Lucky Core Industries in Dec 2022","","PSX Name Change Notice Dec 2022"
PAK|XKAR|EPCL,Engro Polymer & Chemicals Limited,EPCL,"Engro Asahi Polymer","","https://www.engropolymer.com","","2008-08-04","","Chemicals","December 31",PK0029201012,,"0001102","Sole manufacturer of PVC in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|TGL,Tariq Glass Industries Limited,TGL,"","","https://www.tariqglass.com","","1980-05-18","","Glass & Ceramics","June 30",PK0077901016,,"0001103","Manufacturer of Toyo Nasic glassware and Omroc float glass","","PSX Official Listing / CDC"
PAK|XKAR|AICL,Adamjee Insurance Company Limited,AICL,"","","https://www.adamjeeinsurance.com","","1961-09-28","","Insurance","December 31",PK0003001011,,"0001201","Major general insurer in Pakistan and UAE","","PSX Official Listing / CDC"
PAK|XKAR|EFUGL,EFU General Insurance Limited,EFUGL,"","","https://www.efuinsurance.com","","1946-01-01","","Insurance","December 31",PK0026701014,,"0001202","Oldest insurance company in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|AHCL,Arif Habib Corporation Limited,AHCL,,,https://www.arifhabibcorp.com,,2001-01-01,,Investment Banking & Brokerage,June 30,PK0073201015,,0001301,,,PSX Official Listing / CDC
PAK|XKAR|APL,Attock Petroleum Limited,APL,,,https://www.apl.com.pk,,2005-03-07,,Oil & Gas Marketing Companies,June 30,PK0075601014,,0001302,,,PSX Official Listing / CDC
PAK|XKAR|BAHL,Bank AL Habib Limited,BAHL,,,https://www.bankalhabib.com,,1992-03-24,,Commercial Banks,December 31,PK0007501017,,0001303,,,PSX Official Listing / CDC
PAK|XKAR|BNWM,Bannu Woollen Mills Limited,BNWM,,,https://www.bannuwoollen.com,,1992-01-01,,Woollen,June 30,PK0008401019,,0001304,,,PSX Official Listing / CDC
PAK|XKAR|BWCL,Bestway Cement Limited,BWCL,,,https://www.bestway.com.pk,,2001-04-09,,Cement,June 30,PK0010801016,,0001305,,,PSX Official Listing / CDC
PAK|XKAR|COLG,Colgate-Palmolive (Pakistan) Limited,COLG,,,https://www.colgate.com.pk,,1982-12-01,,Personal Care & Household Products,June 30,PK0018501018,,0001306,,,PSX Official Listing / CDC
PAK|XKAR|DCR,Dolmen City REIT,DCR,,,https://www.dolmencityreit.com,,2015-06-26,,Real Estate Investment Trust,June 30,PK0093801010,,0001307,,,PSX Official Listing / CDC
PAK|XKAR|ENGROH,Engro Holdings Limited,ENGROH,Engro Corporation Limited,ENGRO,https://www.engro.com,,1968-08-01,,Fertilizer / Conglomerate,December 31,PK0029301010,,0000502,,,PSX Official Listing / CDC
PAK|XKAR|FFL,Fauji Foods Limited,FFL,Noon Pakistan Limited,NOPK,https://www.faujifoods.com,,1970-01-01,,Food & Personal Care Products,December 31,PK0030601010,,0001308,,,PSX Official Listing / CDC
PAK|XKAR|FHAM,First Habib Modaraba,FHAM,,,https://www.habibmodaraba.com,,1985-03-27,,Modarabas,June 30,PK0031801015,,0001309,,,PSX Official Listing / CDC
PAK|XKAR|GADT,Gadoon Textile Mills Limited,GADT,,,https://www.gadoontextile.com,,1994-01-01,,Textile Spinning,June 30,PK0032001011,,0001310,,,PSX Official Listing / CDC
PAK|XKAR|GAL,Ghandhara Automobiles Limited,GAL,Ghandhara Nissan Limited,GNL,https://www.ghandharaautomobiles.com.pk,,1993-01-01,,Automobile Assembler,June 30,PK0032501010,,0001311,,,PSX Official Listing / CDC
PAK|XKAR|GHGL,Ghani Glass Limited,GHGL,,,https://www.ghaniglass.com,,1998-01-01,,Glass & Ceramics,June 30,PK0032701016,,0001312,,,PSX Official Listing / CDC
PAK|XKAR|GHNI,Ghandhara Industries Limited,GHNI,,,https://www.ghandharaindustries.com.pk,,1963-01-01,,Automobile Assembler,June 30,PK0032601018,,0001313,,,PSX Official Listing / CDC
PAK|XKAR|HALEON,Haleon Pakistan Limited,HALEON,GlaxoSmithKline Consumer Healthcare Pakistan Limited,GSKCH,https://www.pk-haleon.com,,2017-03-22,,Pharmaceuticals,December 31,PK0094701011,,0001314,,,PSX Official Listing / CDC
PAK|XKAR|HGFA,HBL Growth Fund,HGFA,,,https://www.hblasset.com,,2004-01-01,,Close - End Mutual Fund,June 30,PK0038101013,,0001315,,,PSX Official Listing / CDC
PAK|XKAR|HMB,Habib Metropolitan Bank Limited,HMB,,,https://www.habibmetro.com,,1992-09-17,,Commercial Banks,December 31,PK0040501015,,0001316,,,PSX Official Listing / CDC
PAK|XKAR|HUMNL,Hum Network Limited,HUMNL,Eye Television Network Limited,,https://www.hum.tv,,2005-06-23,,Technology & Communication,June 30,PK0040801019,,0001317,,,PSX Official Listing / CDC
PAK|XKAR|IBFL,Ibrahim Fibres Limited,IBFL,,,https://www.igc.com.pk,,1994-01-01,,Synthetic & Rayon,June 30,PK0041001015,,0001318,,,PSX Official Listing / CDC
PAK|XKAR|INIL,International Industries Limited,INIL,,,https://www.iil.com.pk,,1984-01-01,,Engineering,June 30,PK0041501014,,0001319,,,PSX Official Listing / CDC
PAK|XKAR|ISL,International Steels Limited,ISL,,,https://www.isl.com.pk,,2011-06-01,,Engineering,June 30,PK0090201010,,0001320,,,PSX Official Listing / CDC
PAK|XKAR|JDWS,JDW Sugar Mills Limited,JDWS,,,https://www.jdw-group.com,,1992-01-01,,Sugar & Allied Industries,September 30,PK0046501019,,0001321,,,PSX Official Listing / CDC
PAK|XKAR|JVDC,Javedan Corporation Limited,JVDC,,,https://www.javedan.com,,1961-01-01,,Property,June 30,PK0046601017,,0001322,,,PSX Official Listing / CDC
PAK|XKAR|LOTCHEM,Lotte Chemical Pakistan Limited,LOTCHEM,Lotte Pakistan PTA Limited,LPPTA,https://www.lottechem.pk,,2001-01-01,,Chemicals,December 31,PK0049001017,,0001323,,,PSX Official Listing / CDC
PAK|XKAR|MEHT,Mehmood Textile Mills Limited,MEHT,,,https://www.mehmoodgroup.com,,1974-01-01,,Textile Spinning,June 30,PK0054201019,,0001324,,,PSX Official Listing / CDC
PAK|XKAR|NPL,Nishat Power Limited,NPL,,,https://www.nishatpower.com,,2009-10-16,,Power Generation & Distribution,June 30,PK0089801010,,0001325,,,PSX Official Listing / CDC
PAK|XKAR|PABC,Pakistan Aluminium Beverage Cans Limited,PABC,,,https://www.pkcans.com,,2021-07-16,,Industrial Metals & Mining,December 31,PK0103801018,,0001326,,,PSX Official Listing / CDC
PAK|XKAR|PAKT,Pakistan Tobacco Company Limited,PAKT,,,https://www.ptc.com.pk,,1956-01-01,,Tobacco,December 31,PK0066301013,,0001327,,,PSX Official Listing / CDC
PAK|XKAR|PGLC,Pak-Gulf Leasing Company Limited,PGLC,,,https://www.pakgulfleasing.com,,1996-01-01,,Leasing Companies,June 30,PK0062101011,,0001328,,,PSX Official Listing / CDC
PAK|XKAR|PIBTL,Pakistan International Bulk Terminal Limited,PIBTL,,,https://www.pibtl.com.pk,,2013-12-23,,Transport,June 30,PK0092301012,,0001329,,,PSX Official Listing / CDC
PAK|XKAR|PKGS,Packages Limited,PKGS,,,https://www.packages.com.pk,,1965-01-01,,Paper & Board,December 31,PK0064301015,,0001330,,,PSX Official Listing / CDC
PAK|XKAR|POWER,Power Cement Limited,POWER,Al-Abbas Cement Industries Limited,,https://www.powercement.com.pk,,1993-01-01,,Cement,June 30,PK0065601017,,0001331,,,PSX Official Listing / CDC
PAK|XKAR|PSEL,Pakistan Services Limited,PSEL,,,https://www.psl.com.pk,,1964-01-01,,Leather & Tanneries / Hotels,June 30,PK0065901011,,0001332,,,PSX Official Listing / CDC
PAK|XKAR|PSX,Pakistan Stock Exchange Limited,PSX,,,https://www.psx.com.pk,,2017-06-29,,Miscellaneous / Financial,June 30,PK0095101013,,0001333,,,PSX Official Listing / CDC
PAK|XKAR|RMPL,Rafhan Maize Products Company Limited,RMPL,,,https://www.rafhanmaize.com,,1985-01-01,,Food & Personal Care Products,December 31,PK0067001018,,0001334,,,PSX Official Listing / CDC
PAK|XKAR|SAZEW,Sazgar Engineering Works Limited,SAZEW,,,https://www.sazgarautos.com,,1994-09-22,,Automobile Assembler,June 30,PK0071301015,,0001335,,,PSX Official Listing / CDC
PAK|XKAR|SCBPL,Standard Chartered Bank (Pakistan) Limited,SCBPL,,,https://www.sc.com/pk,,2006-12-30,,Commercial Banks,December 31,PK0071501010,,0001336,,,PSX Official Listing / CDC
PAK|XKAR|SHFA,Shifa International Hospitals Limited,SHFA,,,https://www.shifa.com.pk,,1994-11-20,,Miscellaneous / Healthcare,June 30,PK0072401012,,0001337,,,PSX Official Listing / CDC
PAK|XKAR|SNGP,Sui Northern Gas Pipelines Limited,SNGP,,,https://www.sngpl.com.pk,,1964-01-01,,Gas Utilities,June 30,PK0072801013,,0001338,,,PSX Official Listing / CDC
PAK|XKAR|SRVI,Service Industries Limited,SRVI,,,https://www.servisgroup.com,,1970-01-01,,Leather & Footwear,December 31,PK0072101018,,0001339,,,PSX Official Listing / CDC
PAK|XKAR|SSGC,Sui Southern Gas Company Limited,SSGC,,,https://www.ssgc.com.pk,,1955-01-01,,Gas Utilities,June 30,PK0073501018,,0001340,,,PSX Official Listing / CDC
PAK|XKAR|SSOM,S.S. Oil Mills Limited,SSOM,,,https://www.ssoilmills.com,,1992-01-01,,Vanaspati & Allied Industries,June 30,PK0073301013,,0001341,,,PSX Official Listing / CDC
PAK|XKAR|THALL,Thal Limited,THALL,,,https://www.thallimited.com,,1966-01-01,,Automobile Parts & Accessories,June 30,PK0078001014,,0001342,,,PSX Official Listing / CDC
PAK|XKAR|TPLRF1,TPL REIT Fund I,TPLRF1,,,https://www.tplreit.com,,2023-03-24,,Real Estate Investment Trust,June 30,PK0106201018,,0001343,,,PSX Official Listing / CDC
PAK|XKAR|YOUW,Yousaf Weaving Mills Limited,YOUW,,,https://www.yousafweaving.com,,1989-01-01,,Textile Weaving,June 30,PK0083301013,,0001344,,,PSX Official Listing / CDC
